제품번호,물품대분류,상품명,물품판매량,제품단가
P100118,FC,좋은느낌 솜솜 소중형 날개형 14개입,34,4529
P100119,FC,좋은느낌 솜솜 수퍼롱 오버나이트 8개입,336,5201
P100120,FC,좋은느낌 솜솜 수퍼롱 오버나이트 8개입 (EA),34,4926
P100121,FC,좋은느낌 솜솜 중형 날개형 14개입,353,4283
P100122,FC,좋은느낌 솜솜 중형 날개형 14개입 (EA),47,3947
P100123,FC,좋은느낌 솜솜 특대형 날개형 12개입,37,4541
P100124,FC,좋은느낌 순수 울트라 날개 대형 16개입,246,5359
P100125,FC,좋은느낌 순수 울트라 날개 대형 16개입 (EA),38,4379
P100126,FC,좋은느낌 순수 울트라 날개 중형 18개입,390,5693
P100127,FC,좋은느낌 순수 울트라 날개 중형 18개입 (EA),34,4512
P100128,FC,좋은느낌 순수 팬티라이너 롱 18개입,571,3074
P100129,FC,좋은느낌 순수 팬티라이너 롱 18개입 (EA),26,3400
P100130,FC,좋은느낌 에어핏쿠션 슬림 날개 수퍼롱 오버나이트 20개입,38,17234
P100131,FC,좋은느낌 에어핏쿠션 슬림 날개 수퍼롱 오버나이트 20개입 (EA),15,11107
P100132,FC,좋은느낌 에어핏쿠션 울트라 날개 대형 17개입,127,8999
P100133,FC,좋은느낌 에어핏쿠션 울트라 날개 대형 17개입 (EA),6,6195
P100134,FC,좋은느낌 에어핏쿠션 울트라 날개 대형 17개입 X 3,12,22750
P100135,FC,좋은느낌 에어핏쿠션 울트라 날개 중형 18개입X2 + 슬림 날개 수퍼롱 오버나이트 10개입,58,17797
P100136,FC,좋은느낌 에어핏쿠션 울트라 날개 중형 18개입X2 + 슬림 날개 수퍼롱 오버나이트 10개입 (EA),4,14080
P100137,FC,좋은느낌 에어핏쿠션 울트라 날개 중형 19개입,279,9973
P100138,FC,좋은느낌 에어핏쿠션 울트라 날개 중형 19개입 (EA),7,8061
P100139,FC,좋은느낌 에어핏쿠션 울트라 날개 중형 19개입 X 3,32,28641
P100140,FC,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8개입,426,9512
P100141,FC,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X3,27,20167
P100142,FC,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X 3,15,24700
P100143,FC,좋은느낌 유기농 순면 뉴 슬림 날개 중형 3개입(지퍼백),219,2944
P100144,FC,좋은느낌 유기농 순면 뉴 슬림 날개 중형 3개입(지퍼팩) x 12,2,12960
P100145,FC,좋은느낌 유기농 순면 뉴 슬림 날개 중형 36개입,269,17024
P100146,FC,좋은느낌 유기농 순면 뉴 슬림 날개 중형 36개입 (EA),2,11640
P100147,FC,좋은느낌 유기농 순면 뉴 오버나이트 10개입,329,8665
P100148,FC,좋은느낌 유기농 순면 뉴 오버나이트 10개입 (EA),8,7751
P100149,FC,좋은느낌 유기농 순면 뉴 오버나이트 10개입 X3,31,17439
P100150,FC,좋은느낌 유기농 순면 뉴 오버나이트 10개입 X 3,7,22286
P100151,FC,좋은느낌 유기농 순면 뉴 울트라 날개 대형 16개입,305,12508
P100152,FC,좋은느낌 유기농 순면 뉴 울트라 날개 대형 16개입 (EA),8,8910
P100153,FC,좋은느낌 유기농 순면 뉴 울트라 날개 대형 16개입 X3,34,25041
P100154,FC,좋은느낌 유기농 순면 뉴 울트라 날개 대형 16매X3팩,13,19800
P100155,FC,좋은느낌 유기농 순면 뉴 울트라 날개 중형 18개입,407,11984
P100156,FC,좋은느낌 유기농 순면 뉴 울트라 날개 중형 18개입 (EA),29,8603
P100157,FC,좋은느낌 유기농 순면 뉴 울트라 날개 중형 18개입 X3,57,22579
P100158,FC,좋은느낌 유기농 입는 오버나이트 대형 8개입,92,20220
P100159,FC,좋은느낌 유기농 입는 오버나이트 대형 8개입 (EA),3,12780
P100160,FC,좋은느낌 유기농 입는 오버나이트 대형 8개입 X 2,2,42600
