filename,width,height,aspect_ratio,mean_R,mean_G,mean_B,std_R,std_G,std_B,brightness,contrast,min_brightness,max_brightness,median_brightness,hue,saturation,value,red_ratio,green_ratio,blue_ratio,dark_ratio,bright_ratio,edge_strength,bright_TL,bright_TC,bright_TR,bright_ML,bright_MC,bright_MR,bright_BL,bright_BC,bright_BR
IR_SU_NT_W1_H1_C3_0001.jpg,1920,1080,1.778,50.5,50.5,50.5,9.8,9.8,9.8,50.5,9.8,34.0,162.0,51.0,0.0,0.0,0.198,0.0,0.0,0.0,0.902,0.0,0.71,55.8,54.9,53.4,57.6,56.9,56.3,40.2,39.9,39.5
IR_SU_NT_W1_H1_C3_0002.jpg,1920,1080,1.778,46.4,46.4,46.4,10.2,10.2,10.2,46.4,10.2,32.0,142.0,44.0,0.0,0.0,0.182,0.0,0.0,0.0,0.911,0.0,0.71,44.5,46.3,47.9,52.3,55.1,58.9,37.3,37.7,37.7
IR_SU_NT_W1_H1_C3_0003.jpg,1920,1080,1.778,43.8,43.8,43.8,7.7,7.7,7.7,43.8,7.7,32.0,157.0,42.0,0.0,0.0,0.172,0.0,0.0,0.0,0.979,0.0,0.69,47.1,43.5,41.9,50.6,50.2,50.0,37.6,36.7,36.4
IR_SU_NT_W1_H1_C3_0004.jpg,1920,1080,1.778,52.8,52.8,52.8,12.6,12.6,12.6,52.8,12.6,33.0,155.0,50.0,0.0,0.0,0.207,0.0,0.0,0.0,0.805,0.0,0.74,61.2,54.2,55.7,61.2,61.3,58.8,42.7,39.9,39.9
IR_SU_NT_W1_H1_C4A4B2_0001.jpg,1920,1080,1.778,50.5,50.5,50.5,11.0,11.0,11.0,50.5,11.0,34.0,205.0,51.0,0.0,0.0,0.198,0.0,0.0,0.0,0.901,0.0,0.73,53.4,53.6,55.9,57.4,55.8,58.6,39.6,39.5,40.5
IR_SU_NT_W1_H1_C4A4B2_0002.jpg,1920,1080,1.778,44.0,44.0,44.0,9.4,9.4,9.4,44.0,9.4,32.0,205.0,42.0,0.0,0.0,0.173,0.0,0.0,0.0,0.971,0.0,0.72,43.2,44.0,45.1,52.2,50.6,50.3,36.6,36.8,37.3
IR_SU_NT_W1_H1_C4A4B2_0003.jpg,1920,1080,1.778,55.2,55.2,55.2,13.7,13.7,13.7,55.2,13.7,34.0,205.0,52.0,0.0,0.0,0.216,0.0,0.0,0.0,0.797,0.0,0.82,60.0,66.4,74.8,52.6,54.0,55.4,41.5,43.8,48.2
IR_SU_NT_W1_H1_C4A4B2_0004.jpg,1920,1080,1.778,51.2,51.2,51.2,11.1,11.1,11.1,51.2,11.1,35.0,206.0,53.0,0.0,0.0,0.201,0.0,0.0,0.0,0.906,0.0,0.72,54.1,54.9,56.9,56.0,57.7,58.7,40.4,40.5,41.2
IR_SU_NT_W1_H1_C4A4_0001.jpg,1920,1080,1.778,55.8,55.8,55.8,14.4,14.4,14.4,55.8,14.4,34.0,208.0,57.0,0.0,0.0,0.219,0.0,0.0,0.0,0.742,0.0,0.77,63.3,62.6,60.0,61.7,61.6,67.3,42.4,42.1,41.3
IR_SU_NT_W1_H1_C4A4_0002.jpg,1920,1080,1.778,50.5,50.5,50.5,11.4,11.4,11.4,50.5,11.4,32.0,205.0,49.0,0.0,0.0,0.198,0.0,0.0,0.0,0.889,0.0,0.72,52.6,53.8,56.5,58.9,58.6,56.7,38.5,39.1,39.6
IR_SU_NT_W1_H1_C4A4_0003.jpg,1920,1080,1.778,43.3,43.3,43.3,8.7,8.7,8.7,43.3,8.7,32.0,205.0,41.0,0.0,0.0,0.17,0.0,0.0,0.0,0.978,0.0,0.7,44.7,41.9,41.9,50.5,49.7,51.1,37.0,36.4,36.4
IR_SU_NT_W1_H1_C4A4_0004.jpg,1920,1080,1.778,49.6,49.6,49.6,9.6,9.6,9.6,49.6,9.6,35.0,206.0,51.0,0.0,0.0,0.194,0.0,0.0,0.0,0.919,0.0,0.71,52.8,52.9,53.6,55.2,55.0,56.5,39.8,39.9,40.2
IR_SU_NT_W1_H1_C4B4_0001.jpg,1920,1080,1.778,50.8,50.8,50.8,10.4,10.4,10.4,50.8,10.4,34.0,196.0,52.0,0.0,0.0,0.199,0.0,0.0,0.0,0.89,0.0,0.71,56.3,53.8,54.7,58.9,56.8,57.0,40.4,39.6,40.0
IR_SU_NT_W1_H1_C4B4_0002.jpg,1920,1080,1.778,50.1,50.1,50.1,12.0,12.0,12.0,50.1,12.0,31.0,203.0,49.0,0.0,0.0,0.197,0.0,0.0,0.0,0.868,0.0,0.73,52.3,51.4,53.2,60.7,58.9,58.8,38.8,38.5,38.7
IR_SU_NT_W1_H1_C4B4_0003.jpg,1920,1080,1.778,43.7,43.7,43.7,8.8,8.8,8.8,43.7,8.8,32.0,199.0,41.0,0.0,0.0,0.171,0.0,0.0,0.0,0.977,0.0,0.7,42.2,43.1,45.6,50.2,51.2,50.4,36.4,36.5,37.3
IR_SU_NT_W1_H1_C4B4_0004.jpg,1920,1080,1.778,50.1,50.1,50.1,11.9,11.9,11.9,50.1,11.9,35.0,212.0,51.0,0.0,0.0,0.197,0.0,0.0,0.0,0.914,0.0,0.73,52.5,53.1,53.7,55.3,60.4,55.8,39.9,40.0,40.3
IR_SU_NT_W1_H1_C4C3C2_0001.jpg,1920,1080,1.778,54.7,54.7,54.7,11.5,11.5,11.5,54.7,11.5,34.0,192.0,56.0,0.0,0.0,0.215,0.0,0.0,0.0,0.789,0.0,0.71,63.5,63.4,58.7,61.5,60.5,59.1,42.6,42.2,41.1
IR_SU_NT_W1_H1_C4C3C2_0002.jpg,1920,1080,1.778,42.9,42.9,42.9,8.8,8.8,8.8,42.9,8.8,31.0,192.0,40.0,0.0,0.0,0.168,0.0,0.0,0.0,0.971,0.0,0.7,41.9,42.2,41.8,50.5,50.4,50.6,36.0,36.1,36.1
IR_SU_NT_W1_H1_C4C3C2_0004.jpg,1920,1080,1.778,50.5,50.5,50.5,9.3,9.3,9.3,50.5,9.3,35.0,172.0,52.0,0.0,0.0,0.198,0.0,0.0,0.0,0.912,0.0,0.7,53.8,54.8,55.9,55.7,56.1,56.8,40.3,40.4,40.9
IR_SU_NT_W1_H1_C4C3_0001.jpg,1920,1080,1.778,53.2,53.2,53.2,11.0,11.0,11.0,53.2,11.0,34.0,180.0,53.0,0.0,0.0,0.209,0.0,0.0,0.0,0.833,0.0,0.71,54.7,59.2,63.9,56.5,59.1,61.7,39.9,41.4,42.7
IR_SU_NT_W1_H1_C4C3_0002.jpg,1920,1080,1.778,44.7,44.7,44.7,8.0,8.0,8.0,44.7,8.0,32.0,183.0,44.0,0.0,0.0,0.175,0.0,0.0,0.0,0.967,0.0,0.7,45.7,46.7,44.5,50.5,50.6,51.8,37.4,37.5,37.5
