순번,생산라인코드,생산라인명,생산일자,발생시간,종료시간,오류조치시간,비가동코드,Error_Message,품목코드,품목명,오류발생작업장명
5,C088,냉동밥 취반#1,2025-01-27,8:50,10:00,70,W0034B1,품목 교체,2BA03284,곤드레나물밥H5kg(재),쿠킹실
8,D088,냉동밥 내포장#1,2025-01-30,0:45,1:40,55,W0054F1,품목 교체,1BA03216,AAF게살새우볶음밥(알밥)*,충전실
2,C087,냉동밥 취반#2,2025-01-30,6:10,7:00,50,W0034B1,품목 교체,2BA03157,비비고낙지비빔밥200g(재),쿠킹실
22,C087,냉동밥 취반#2,2025-02-01,0:20,2:00,100,W0034B2,세부 세척,2BA03201,비비고닭가슴살볶음밥210g(알밥)(재),쿠킹실
4,D088,냉동밥 내포장#1,2025-01-31,9:28,10:41,73,W0054F1,품목 교체,1BA03306,마음심은갈릭버터새우볶음밥,충전실
24,D088,냉동밥 내포장#1,2025-02-01,5:07,6:29,82,W0054F1,품목 교체,1BA03159,비비고깍두기볶음밥200g,충전실
8,C088,냉동밥 취반#1,2025-02-02,15:00,16:00,60,W0034B1,품목 교체,2BA03304,마음심은장조림볶음밥(재),쿠킹실
16,D088,냉동밥 내포장#1,2025-02-07,2:05,2:40,35,W0054F1,품목 교체,1BA03216,AAF게살새우볶음밥(알밥)*,충전실
4,C088,냉동밥 취반#1,2025-02-07,10:00,11:00,60,W0034B1,품목 교체,2BA03202,강원나물밥200g(알밥)(재),쿠킹실
11,C088,냉동밥 취반#1,2025-02-08,14:40,15:30,50,W003721,충진 미종료,2BA03159,비비고깍두기볶음밥200g(재),쿠킹실
20,D088,냉동밥 내포장#1,2025-02-09,22:25,0:13,108,W0054F1,품목 교체,1BA03093,비비고취나물밥200g,충전실
13,C088,냉동밥 취반#1,2025-02-20,0:40,1:40,60,W0034B1,품목 교체,2BA03119,홍익돈까스 야채볶음밥(재),쿠킹실
7,D087,냉동밥 내포장#2,2025-02-20,9:55,10:15,20,W005721,원료,1BA03174,통새우볶음밥(노브랜드),충전실
12,D087,냉동밥 내포장#2,2025-02-20,21:25,21:55,30,W005422,설비,1BA03214,닭가슴살볶음밥(노브랜드),충전실
16,D088,냉동밥 내포장#1,2025-02-23,11:58,13:23,85,W0054F1,품목 교체,1BA03049,김치볶음밥-S,충전실
